images/IMG_20180630_225522,Hinweis: Widerstände (weiße Verpackung) haben aufgedruckte Nummern. Diese sind in der Bauteilübersicht enthalten. Die Richtung von Widerständen ist nicht relevant.; Kondensatoren sind mit einer Farbe markiert. Die Richtung der Kondensatoren ist nicht relevant.;LEDs sind in schwarzen Verpackungen. ACHTUNG: Richtung ist wichtig!,
images/IMG_20180630_232055,Achtung: Bitte aufgedruckte Nummern vor dem auflöten mit der Übersicht prüfen; Widerstände R1 - R19 auf die Vorder- und Rückseite des Boards auflöten. Die Richtung der Widerstände ist nicht relevant. R9{,} R13 und R18 werden nicht benötigt,
images/IMG_20180630_234207,Kondensatoren C1 - C3 auflöten; Mit C2 starten!; Richtung der Kondensatoren ist nicht relevant,
images/IMG_20180630_235003,Achtung! Ausrichtung der LEDs wichtig! Zuerst alle Punkte des Schrittes lesen;LEDs genauso wie die Widerstände auflöten;Dazu Platine umdrehen;Die LEDs haben auf der Oberseite einen kleinen grünen Strich am Rand; Auf der Platine sind kleine Pfeile oder kleine Punkte aufgedruckt; Die Pfeile oder Punkte auf der Platine zeigen die Seite an{,} an die der kleine grüne Strich muss;LED 1 - 7 auflöten; LED2 is die einzig grüne LED (einzelne schwarze Verpackung);Tipp: Sollten die Pfeile oder Punkte auf der Platine schlecht zu sehen sein{,} beachte die Layout-Zeichnung auf der letzten Seite der Anleitung,\centering\includegraphics[width=.8\linewidth]{../../misc/led_drawing/smd_led_up.pdf}
images/IMG_20180630_235504,Sicherungen F1 - F4 auf das Board auflöten.; Die Richtung der Sicherungen ist nicht relevant,
images/IMG_20180630_235606,Achtung: Ausrichtung ist wichtig! TPS2513 (6 Pins) bei U1 auf das Board auflöten; Eine vertikale Linie (sehr fein{,} schlecht zu sehen) ist auf dem Chip und auf dem Board aufgedruckt. Die Linie am Chip muss bei der Linie{,} neben der ein Punkt ist{,} am Board platziert werden.,
images/IMG_20180630_235823,LM-317 auflöten; Hinweis: Am besten die Beinchen vor dem Auflöten umbiegen,
images/IMG_20180701_000355,USB Buchsen X1 und X2 auflöten.; Hinweis: Es kann sein, dass die Haltenasen etwas zurechtgebogen werden müssen.,
images/IMG_20180701_001109,Pin Header JP1 - JP6 mit den kurzen Pins ans Board löten.; JP7 ist optional und wird nur gebraucht{,} wenn ein Voltmeter angeschlossen werden soll.,
images/IMG_20180701_001733,Druckknopf SW1 auflöten; Ausrichtung ist nicht wichtig,
images/IMG_20180701_001909,Potentiometer VR1 auflöten,
images/IMG_20180701_002328,ATX Anschluss J1 auflöten;Hinweis: Es funktionieren sowohl 24 als auch 20 PIN-ATX-Netzteile,
images/IMG_20180701_002328,Die schwarzen bzw. roten Bananenbuchsen anschrauben,
images/IMG_20180701_002328,Optional: Wenn Nylon Beinchen vorhanden sind{,} diese in die Löcher der Ecken stecken.;Optional: Um Kurzschlüsse zu vermeiden kann die Rückseite des ATX-Connectors mit Heißkleber verklebt werden; Hinweis: Das Entwicklerfeld auf der linken oberen Seite ist für eine spätere Entwicklung von Schaltungen. Hier wird voerst nichts aufgelötet.,
