images/1_Parts_Overview, Zuerst verschaffe dir einen Überblick! Schau auf die Teileliste auf Seite 1 und stelle sicher{,} dass alles da ist.; Du solltest haben: Wolken-PCB{,} Widerstände{,} Kondensatoren{,} Diode{,} ATtiny85-Chip{,} Mikrofon{,} Summer{,} Taster{,} LEDs Grün (ohne){,}LED Gelb (Gelber Kleber){,} und Batteriepack.; Zudem noch die 5 Baum-PCBs: 2 Stammteile{,} sowie Ringe für 5{,} 4{,} und 3 LEDs.; Tipp: Sortiere alles in Gruppen — das macht den Zusammenbau viel einfacher!
images/2_Base_Solderbridge, Beginne mit der Wolken-PCB — wir müssen zuerst eine Lötbrücke setzen! Das schaltet dein Board in den richtigen Betriebsmodus.; Verbinde die oberen zwei Pads{,} die im Bild markiert sind{,} mit einem Lötpunkt.; Nimm dir Zeit und achte darauf{,} dass das Lot sauber die oberen Pads verbindet keine Verbindung mit dem unteren hat.
images/3_Base_Resistors, Jetzt kommen die Widerstände — hier ist die Richtung egal!; Schau in die Teileliste{,} welche Widerstände wohin gehören{,} und setze sie an die passenden Stellen.; Stecke sie durch{,} biege die Beinchen auf der Rückseite so{,} dass sie von selbst halten.; Jetzt löte sie fest und schneide die Überstände ab.
images/4_Base_FandD, Dann die Kondensatoren (C1 und C2 — sie haben keine Richtung) und die Diode (D1) — diese hat eine Richtung!; WICHTIG: Der Balken (Streifen) auf der Diode muss mit der Markierung auf dem PCB übereinstimmen! Im unteren Bereich des Bildes ist der Streifen auf der rechten Seite zu sehen.; Wenn der Balken auf der falsche Seite ist{,} funktioniert die Puste-Funktion nicht.
images/4_1_MicNµController, Als Nächstes das Mikrofon und der ATtiny-Chip.; Löte das Mikrofon an die markierte Stelle.; Der ATtiny-Chip muss richtig herum plaziert werden — achte auf die kleine Kerbe oder den Punkt.; Richte die Kerbe an der Markierung auf dem PCB aus und stecke den Chip vorsichtig ein.
images/5_Button_Buzzer_Prep_Combined, Bereite Taster und Summer vor!; Für den Taster{,} biege die Beinchen zuerst so{,} dass sie flach am PCB anliegen.; Der Summer hat zwei Drähte — schwarz ist GND (quadratisches Pad) und rot ist VCC (rundes Pad).; Verzinne die Pads erst ohne Kabel{,} das macht das Löten einfacher.(Bild unten links);Jetzt löte die Kabel von oben an die Lötstellen (Die Kabel müssen nicht unbedingt durch die Löcher); Klebe danach den Summer mit dem Klebestreifen fest.
images/8_0_Stem_Parts_Combined, Hier siehst du die beiden Teile des Stamms!; Achte auf die Verbindungs-Pads an jedem Teil.; Die großen GND-Pads müssen wie abgebildedt nebeneinander liegen{,} wenn du die Teile zusammensetzt.; Schiebe die zwei Stammteile zusammen; Die GND pads bitte noch nicht verlöten — zuerst muss der untere Ring drauf;
images/8_2_Stem_Slotted, Schiebe den zusammengesetzten Stamm in das Wolken-PCB — er passt nur in einer Richtung!; Der Stamm sollte gerade und aufrecht stehen.; Unten siehst du die im Winkel angeordneten pads.; Drücke den Stamm ganz nach unten und prüfe die Pads.
images/8_3_Stem_Soldedered, Löte die Pads über Eck{,} um den Stamm mit der Basis zu verbinden!; Achte auf ausreichend Lötzinn damit die Verbindungen stabil wird.; Dein Baumstamm sollte jetzt von alleine stehen.; Drehe das Board um und verlöte die unteren Pads des Stamms; MERKE: Löte die großen GND-Pads an der Seite des Stamms noch nicht — zuerst kommt der 5-LED-Ring!
images/10_0_Ring5_Prep, Nun bauen wir die Baum-Ebenen! Beginne mit dem größten Ring (5 LED-Löcher).; Dieser Ring muss über den Stamm geschoben werden.; Prüfe die Ausrichtung — die Verbindungs-Pads am Ring sollten mit den Pads am Stamm übereinstimmen.; Schiebe ihn herunter{,} bis er auf der Kante sitzt.
images/10_1_Ring5_Soldered, Löte den Ring an die Pads des Stamms für die erste Ebene deines Baums!; Achte darauf{,} dass das Lot sowohl Ring als auch Stamm gut verbindet.; Jetzt kannst du die großen GND-Pads am Stamm miteinander Verbinden!
images/11_1_Ring4_Soldered, Nun der mittlere Ring (4 LED-Löcher)!; Gleiche Vorgehensweise — Ausrichtung prüfen und über den Stamm hinunter schieben{,} bis er auf der Kante sitzt.; Dann beide Pads mit dem Stamm verlöten.
images/12_Ring3_Soldered, Letzter Ring! Der kleine 3-LED-Ring kommt ganz nach oben.; Dieser hat Pfeile{,} die dir zeigen{,} wie er ausgerichtet wird.; Löte ihn ein und das Baumgerüst ist fertig!; Jetzt fehlen nur noch die Blätter :).
images/13_0_LED_Setup, LED-Vorbereitung — LEDs funktionieren nur in einer Richtung{,} also achte auf die Polarität.; Merke: rundes Pad = Plus (+){,} quadratisches Pad = Minus (−).; Wenn du eine LED verdreht ist{,} leuchtet der ganze Ring nicht.; Kürze die LED-Beinchen mit Seitenschneider und lasse etwa 6 mm Beinlänge stehen.; Das negative (GND) Bein ist das mit dem größeren Metallteil im Inneren der LED{,} und das LED-Gehäuse hat an dieser Seite eine abgeflachte Kante.
