Menge,Name,Beschreibung,Beschriftung/Farbcode
2,C1{,} C2,Keramik Kondensator \SI{100}{\nano\farad},104
1,C3,Kondensator \SI{47}{\micro\farad},
3,D1{,} D2{,} D3,Diode BAW 76,
1,D10,Diode 1N4007,
1,IC1,CMOS-IC 4029,
1,IC2,CMOS-IC 4093,
7,LED1 -- LED7,LED \SI{5}{\mm},
2,R1{,} R3,Widerstand \SI{2,2}{\kilo\ohm},Rot - Rot - Schwarz - Braun - Braun
1,R2,Widerstand \SI{1}{\mega\ohm},Braun - Schwarz - Schwarz - Gelb - Braun
1,R4,Widerstand \SI{2,2}{\mega\ohm},Rot - Rot - Schwarz - Gelb - Braun
1,R5,Widerstand \SI{120}{\kilo\ohm},Braun - Rot - Schwarz - Orange - Braun
2,R6{,} R8,Widerstand \SI{1,5}{\kilo\ohm},Braun - Grün - Schwarz - Braun - Braun
1,R7,Widerstand \SI{1,8}{\kilo\ohm},Braun - Grau - Schwarz - Braun - Braun
1,R9,Widerstand \SI{3,3}{\kilo\ohm},Orange - Orange - Schwarz - Braun - Braun
1,T1,Transistor BC547B,
1,S1,Taster,
1,X1,Klemme 2-polig,
1,Platine,,
1,IC-Sockel 14-polig,,
1,IC-Sockel 16-polig,,
1,Batterieclip für \SI{9}{\volt} Block,,
1,Batterie \SI{9}{\volt} Block,,
