images/PXL_20221125_141822610,Überprüfen deine Bauteile.;Eine CR2032-Batterie ist nicht enthalten. Du kannst sie online oder in größeren Elektronikgeschäften kaufen.
images/PXL_20221125_142019160, Drehe die Platine auf die Rückseite;Füge Lötzinn auf allen vier länglichen LED-Pads hinzu{,} die mit einem + markiert sind.
images/PXL_20221125_142157153,Das lange Beinchen der LED markiert die positive Seite. Achte beim biegen darauf{,} dass das positive Beinchen dann später auch an der Richtigen Lötstelle ist (Die Lötstelle{,} die bereits Lötzinn hat). ;Die Spitze der LEDs soll nach dem auflöten auf die Platine zeigen. Biege daher zunächst die Beinchen komplett um 180° nach unten. Die LED sollte so aussehen wie die mittlere im Bild.; Biege anschließend die Beinchen so{,} dass ein kleines Plato entsteht{,} sodass wir die Beinchen auf die länglichen Pads auf der Platine auflöten können. Die LED sollte nun so aussehen{,} wie die LED rechts im Bild.
images/PXL_20221125_142546817,Löte das positive Beinchen (das lange) an das positive Pad{,} auf dem du bereits Lötzinn aufgebracht hast.;Achte darauf{,} dass das zweite Beinchen auch das andere Pad ohne Lot berührt.
images/PXL_20221125_142653904,Löte das andere Beinchen der LED (Kathode{,} negative Seite) auf die Platine.;Schneide den Überstand der Beinchen ab.
images/PXL_20221125_142812529,Der Taster hat keine Richtung.;Gib Lötzinn auf eines der Pads des Tasters.;Biege die Beinchen des Tasters so{,} dass die Beinchen die Oberfläche der Platine berühren können.;Erhitze das Pad mit Lötzinn erneut schiebe ein Beinchen den Taster von der Seite auf das Pad.;Stelle sicher{,} dass das andere Beinchen des Tasters das andere Pad berührt.;Löte das andere Beinchen des Tasters auf die Platine.
images/PXL_20221125_142927501,Der Batteriehalter hat eine Richtung{,} die mit einer abgeschrägten Kante markiert ist. Die gleiche abgeschrägte Kante ist auch auf der Platine aufgedruckt.;Gib Lötzinn auf ein Pad des Batteriehalters;Erhitze das Pad mit Lötzinn erneut und schiebe den Batteriehalter von der Seite auf das Pad.;Stelle sicher{,} dass das andere Beinchen des Batteriehalters das andere Pad berührt.;Löte das andere Beinchen auf das andere Pad auf der Platine auf.
images/PXL_20221125_145153414,Wenn du möchtest{,} kannst du den gelben Teil der Platinenrückseite mit Heißkleber versehen. Damit wird das Licht besser verteilt. Achte darauf{,} dass der Heißkleber die LEDs schön umfließt und alle gelben Flächen überdeckt.
images/PXL_20221125_145208145,Lege die Batterie wie abgebildet ein; Die Abnehmer der positiven Seite müssen die Oberseite der Batterie berühren. Schiebe die Batterie von links in den Batteriehalter und drücke nur die linke Seite nach unten.
images/PXL_20221125_145216097,Du bist fertig!; Du kannst noch einen Magneten an der Batterie anbringen{,} um das Lötkit besser an deiner Kleidung zu befestigen oder mit dem Loch an einem Schlüsselband aufhängen.
