images/PXL_20260618_144823874,{First, check your components. You'll find an overview on the first page.;Tip: You can determine the resistance value using the printed color code;The orientation of resistors and capacitors is not important; Note: The orientation of transistors is important and is printed on the circuit board.;First, sand down any solder smudges with fine-grit sandpaper.}
images/PXL_20260618_150519125-EDIT,{Solder all resistors in place.;Make sure to use the correct value printed on the board. You’ll find the color code on the first page.;Resistors don’t have a specific orientation.}
images/PXL_20260618_150830170,{Solder on capacitors C1 and C2.;These ceramic capacitors don’t have a specific orientation.}
images/PXL_20260618_151057280, {Solder the two pin headers Q1 and Q2 in place.;Make sure they are standing relatively straight on the board. It helps to solder just one pin in place first. This way, you can correct the position with your finger by reheating the solder joint.}
images/PXL_20260618_151945832, {Take the wire and cut it in half.;Strip about 5 mm of insulation from both ends of the two wires.;Apply a small amount of solder to the stripped wires. This will make soldering easier later.; Solder each wire to the copper pad on the speaker.; Then solder the other end of each wire to the speaker position on the circuit board. It doesn’t matter whether it’s the front or back. It also doesn’t matter which is positive and which is negative.}
images/PXL_20260618_152239322,{Thread the red and black wires from the battery holder through the holes next to the solder points.; Now insert the wires into the solder pads. Note: red is positive{,} black is negative.; Solder the wires in place.}
images/PXL_20260618_152515319, {Prepare the banana plugs and nuts. Note: The red and black plugs may have different threads. Test the nuts beforehand , they should screw on easily.;There are two wooden pieces with large round holes in them. Glue them together so that the holes line up. The “Ermer Piepser” label should be visible when you flip the glued pieces over.;Screw the banana jacks in place right away to center them over the holes.}
images/PXL_20260618_152609400-EDIT,{Assemble and glue the remaining parts together as shown in the photo.; Tip: Use masking tape to hold the wooden parts in place until the glue dries.}
images/PXL_20260618_152707407,{Insert the transistors into the pin headers. The markings on the transistors (BC547...) must face the two round gold holes on the circuit board.}
images/PXL_20260618_152854897,{Screw on the Ermer buzzer as shown.}
images/thumbnail,{Insert the batteries, insert the battery holder into the box, and insert the speaker as well. You may have to fiddle with it a bit, but everything fits inside the box.;The box should close without too much pressure. Secure the box with a wide rubber band.;Connect the test leads (red to positive).;Done! Get started and test your first circuit!}
