Menge,Name,Beschreibung,Beschriftung/Farbcode
2,U2{,}U3,CD4017 Zähler,4017
1,U1,NE555 Timer,NE555
2,D1{,}D2, 1N4007 Diode, A7
1,RV1,Potentiometer,
1,C1,\SI{10}{\nano\farad} Keramikkondensator,grün
2,C2{,}C3,\SI{100}{\nano\farad} Keramikkondensator,rot
1,C4,\SI{1}{\mu\farad} Keramikkondensator,blau
1,BT1,CR2032 Batteriehalter
24,D5--D28,LED SMD 0805 rot,
1,R2,Widerstand \SI{1}{\kilo\ohm},102
1,R3,Widerstand \SI{100}{\kilo\ohm},104
1,R4,Widerstand \SI{47}{\ohm},47
1,SW1,Push Button,
1,SW2,Schalter,
1,,Batterie CR2032 (optional),
1,,Platine,
