images/PXL_20230226_094917231,Überprüfe deine Bauteile.;Tipp: Die Widerstandsgröße kann über Farbkodierung ermittelt werden.;Ausrichtung bei Widerständen ist egal.;LEDs haben eine Flache Seite und ein kürzeres Beinchen. Beides zeigt die negative Seite an.
images/PXL_20230226_101028627,LEDs haben eine Richtung. Das lange beinchen ist die Anode (+). Auf der Platine ist die Anode durch ein rundes Löt-Pad gekennzeichnet.; Stecke alle LEDs von vorne (in der Mitte ist NE555D zu lesen) in die mit einem Kreis markierten Löcher. Achtung: Das lange Beinchen gehört in das Loch mit dem runden Pad!
images/PXL_20230226_101632875,Nimm eine Visitenkarte oder ein stück Pappe und halte damit die LEDs fest. Drehe die Platine auf die Rückseite und lege die Platine auf den LED-Köpfen ab.;Löte nun nur ein Beinchen jeder LED fest.
images/PXL_20230226_101921317,Korrigiere eventuell schief eingelötete LEDs.; Du kannst den Lötpunkt wieder warm machen und mit deinem Finger die Position der LEDs korrigieren.
images/PXL_20230226_102940131,Löte nun die noch fehlenden Beinchen fest und schneide den überstehenden Draht ab.;Achte darauf{,} dass du den überstehenden Draht relativ nah an der Platine abschneidest.
images/PXL_20230226_103114580,Stecke den NE555 von vorne durch die Platine. Achtung! der NE555 hat eine Richtung{,} welche durch eine Nase an einer Seite markiert ist. Die Nase ist auch auf der Platine abgedruckt.;Löte nun alle Beinchen des NE555 auf der Rückseite fest.;Tipp: Du kannst wieder nur ein Beinchen festlöten und danach die Postion korrigieren.;Schneide auch hier die überstehenden Drähte sehr knapp ab.
images/PXL_20230226_104524902,Löte nun die Widerstände R1 (\usePart{R1}){,} R2 (\usePart{R2}) und R3 (\usePart{R3}) auf. Die Widerstände haben verschiedene Widerstandswerte die durch Farbringe markiert sind. Achte darauf{,} dass du den richtigen Widerstand am richtigen Ort anlötest.; Schneide die überstehenden Drähte ab.
images/PXL_20230226_104851340,Löte nun die Dioden D1 und D2 auf.; Dioden haben eine Richtung die mit einem Strich markiert sind. Achte darauf{,} dass der Strich auf der Diode mit dem Strich auf der Platine übereinstimmt.
images/PXL_20230226_105857930,Kondensatoren haben verschiedene Werte. Diese sind auf der Platine und mit einem Nummerncode auf den Kondensatoren zu erkennen. Die Richtung der Kondensatoren ist egal.;Löte nun die Kondensatoren C1 (10nF{,} 103){,} C2 (1uF{,} 105){,} C3 (100nF{,} 104) und C4 (100nF{,} 104) auf.;Schneide überstehende Drähte ab.
images/PXL_20230226_110642128,Löte nun die zwei CD4017 ein.; Achte wieder darauf{,} dass die Nasen auf dem Chip mit den Nasen auf der Platine überein stimmen (manchmal sin die Nasen auf der Platine schwer zu erkennen. Sie befinden sich beide in der Nähe von R1).
images/PXL_20230226_111342528,Löte nun den Schalter SW2 auf.; Der Schalter hat keine Richtung. Dieses mal wir der Schalter aufgelötet und nicht durch die Platine gesteckt.;Biege dazu die Lötfahnen etwas nach unten{,} damit die Lötfahnen auf die Platine reichen.; Es kann sein{,} dass du die Lötfahnen etwas schief biegen musst{,} damit der Schalter sauber aufliegt (Es ist wenig Platz).
images/PXL_20230226_111346680,Löte Schalter SW1 auf. Dieser hat keine Richtung.; Tipp: Löte zunächst wieder nur ein Beinchen fest. Dadurch kannst du die Position wie üblich korrigieren.
images/PXL_20230226_111544235,Löte nun das Potentiometer RV1 auf.; Tipp: Löte zunächst wieder nur ein Beinchen fest. Dadurch kannst du die Position wie üblich korrigieren.
images/PXL_20230226_112048911,Löte zuletzt den Batteriehalter auf. Dieser hat wieder eine Richtung. Die Umrisse sind auf der Platine abgedruckt. Achte darauf{,} dass der Umriss mit dem Batteriehalter übereinstimmt.; Tipp: Löte zunächst wieder nur ein Beinchen fest. Dadurch kannst du die Position wie üblich korrigieren.; Lege anschließend eine CR2032 Batterie ein.
images/thumbnail,Du bist fertig!;Mit dem Druckschalter kannst du dein Herz anschalten.;Mit dem Schiebeschalter kannst du zwischen Lauflicht und Dauerlicht umschalten.;Mit einem Schraubenzieher kannst du die Geschwindigkeit des Lauflicht einstellen (Achtung: Bei der Maximaleinstellung funktioniert das Lauflicht nicht mehr. Bleib etwas darunter.)
