Quantity,Name,Description,Labelling/Colour Code
,,Always included:,
1,U1,ESP32,ESP32-WROOM32
1,,Display,SH1106
1,,Antenna
2,,D1{,}D2,,\SI{3}{\mm} LED green,
2,,\SI{15}{\mm} LED spacer
1,C1,\SI{10}{\micro\farad} Capacitor,
1,C2,\SI{100}{\nano\farad} Ceramic capacitor,104
1,J1,4xpin header L-shaped,
1,U2,pin socket 2x8,
2,U1,pin socket 1x19,
1,,4xcable,
3,R1-R3,resistor \SI{390}{\ohm},Orange | Weiß | Schwarz | Schwarz | Braun,R3
1,,Printed circuit board,
6,,M2x6 case screw,
2,,3D printed case parts,

,,NRF variant only:,
1,U2,Radio module ,ML01DP5

,,,CMT variant only:,
1,,Radio module board,CMT2300A Breakout
1,U1,CMT2300A radio module,E49 900M20S
1,J1,2x4 pin header,
1,,Antenna socket,

,,Not included:,
2,,toothpick,
1,,micro USB cable or USB-C cable,

